"","Name","Data_Source","Accession","Group","Maize_Type","Ab10_Status","B_Chrom_Status","Latitude","Longitude","Altitude","DTA_BLUP","DTS_BLUP","PH_BLUP","PresTiller_BLUP","KMeans_Chr10Class","RF_Ab10Class"
"117","12S031101.SW","Swarts_etal_2017","PI_218181:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"118","12S031501.SW","Swarts_etal_2017","PI_218181:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"119","12S032001.SW","Swarts_etal_2017","PI_218181:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"120","12S032101.SW","Swarts_etal_2017","PI_218187:Mojave","US - Lower CO River","Landrace","Unknown","Unknown",NA,NA,945,NA,NA,NA,NA,"N10",NA
"121","12S032201.SW","Swarts_etal_2017","PI_218187:Mojave","US - Lower CO River","Landrace","Unknown","Unknown",NA,NA,945,NA,NA,NA,NA,"N10",NA
"122","12S033301.SW","Swarts_etal_2017","PI_218187:Mojave","US - Lower CO River","Landrace","Unknown","Unknown",NA,NA,945,NA,NA,NA,NA,"N10",NA
"123","12S033401.SW","Swarts_etal_2017","PI_218187:Mojave","US - Lower CO River","Landrace","Unknown","Unknown",NA,NA,945,NA,NA,NA,NA,"N10",NA
"124","12S033501.SW","Swarts_etal_2017","PI_218187:Mojave","US - Lower CO River","Landrace","Unknown","Unknown",NA,NA,945,NA,NA,NA,NA,"N10",NA
"125","12S033601.SW","Swarts_etal_2017","PI_317678:Havasupai","US - Puebloan (West)","Landrace","Unknown","Unknown",36.1324,-112.4138,963,NA,NA,NA,NA,"Ab10","Ab10-I"
"126","12S034301.SW","Swarts_etal_2017","PI_317678:Havasupai","US - Puebloan (West)","Landrace","Unknown","Unknown",36.1324,-112.4138,963,NA,NA,NA,NA,"Ab10","Ambiguous"
"127","12S034401.SW","Swarts_etal_2017","PI_317678:Havasupai","US - Puebloan (West)","Landrace","Unknown","Unknown",36.1324,-112.4138,963,NA,NA,NA,NA,"Ab10","Ab10-I"
"128","12S034601.SW","Swarts_etal_2017","PI_317678:Havasupai","US - Puebloan (West)","Landrace","Unknown","Unknown",36.1324,-112.4138,963,NA,NA,NA,NA,"Ab10","Ab10-I"
"129","12S035001.SW","Swarts_etal_2017","PI_317678:Havasupai","US - Puebloan (West)","Landrace","Unknown","Unknown",36.1324,-112.4138,963,NA,NA,NA,NA,"N10",NA
"130","12S035601.SW","Swarts_etal_2017","PI_420245:Sinaloa","N.Mexico Unknown","Landrace","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"N10",NA
"131","12S035701.SW","Swarts_etal_2017","PI_420245:Sinaloa","N.Mexico Unknown","Landrace","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"N10",NA
"132","12S035801.SW","Swarts_etal_2017","PI_420245:Sinaloa","N.Mexico Unknown","Landrace","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"N10",NA
"133","12S035901.SW","Swarts_etal_2017","PI_420245:Sinaloa","N.Mexico Unknown","Landrace","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"N10",NA
"134","12S036201.SW","Swarts_etal_2017","PI_420245:Sinaloa","N.Mexico Unknown","Landrace","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"N10",NA
"135","12S037001.SW","Swarts_etal_2017","PI_420248:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"Ab10","Ab10-I"
"136","12S037201.SW","Swarts_etal_2017","PI_420248:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"137","12S037301.SW","Swarts_etal_2017","PI_420248:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"Ab10","Ambiguous"
"138","12S037401.SW","Swarts_etal_2017","PI_420248:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"Ab10","Ambiguous"
"139","12S037501.SW","Swarts_etal_2017","PI_420248:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"Ab10","Ab10-I"
"140","12S037601.SW","Swarts_etal_2017","PI_420250:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"141","12S038201.SW","Swarts_etal_2017","PI_420250:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"142","12S038301.SW","Swarts_etal_2017","PI_420250:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
